text,label
Please find the attached report for this week's project update.,ham
"Hi, just checking if we are still meeting tomorrow at 2 PM.",ham
Your order has been shipped and will arrive soon.,ham
Lunch at Hawaii today? Let me know if you're free.,ham
Exclusive deal just for you: Buy 1 get 1 free on iPhone.,spam
Win a brand new iPhone today. Enter the contest now.,spam
Reminder: Team meeting scheduled at 10 AM.,ham
Earn money from home easily! Make up to $500 per week.,spam
Limited time offer! Get 50% off on all products. Shop now.,spam
"Hi, just checking if we are still meeting tomorrow at 4 PM.",ham
Lunch at Dubai today? Let me know if you're free.,ham
Exclusive deal just for you: Buy 1 get 1 free on headphones.,spam
Limited time offer! Get 70% off on all products. Shop now.,spam
Thanks for your help on the task yesterday.,ham
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
Can you review the document I sent earlier?,ham
Congratulations! You've won a $2000 gift card. Click here to claim now.,spam
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
Your loan of $500 has been approved instantly. Apply now.,spam
Please confirm if you received the previous email.,ham
Limited time offer! Get 30% off on all products. Shop now.,spam
Reminder: Team meeting scheduled at 4 PM.,ham
Congratulations! You've won a $1000 gift card. Click here to claim now.,spam
Please confirm if you received the previous email.,ham
Your loan of $1000 has been approved instantly. Apply now.,spam
Congratulations! You've won a $100 gift card. Click here to claim now.,spam
Can you review the document I sent earlier?,ham
Please confirm if you received the previous email.,ham
Let's discuss the plan during our call at 4 PM.,ham
Thanks for your help on the task yesterday.,ham
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
Congratulations! You've won a $1000 gift card. Click here to claim now.,spam
Reminder: Team meeting scheduled at 2 PM.,ham
Get cheap iPhone without prescription. Order today.,spam
Congratulations! You've won a $1000 gift card. Click here to claim now.,spam
Thanks for your help on the task yesterday.,ham
Your order has been shipped and will arrive soon.,ham
Reminder: Team meeting scheduled at 2 PM.,ham
Lunch at Dubai today? Let me know if you're free.,ham
Congratulations! You've won a $100 gift card. Click here to claim now.,spam
Your order has been shipped and will arrive soon.,ham
Get cheap tablet without prescription. Order today.,spam
Limited time offer! Get 60% off on all products. Shop now.,spam
Get cheap laptop without prescription. Order today.,spam
Act now! This deal expires in 2 hours.,spam
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
Get cheap iPhone without prescription. Order today.,spam
I'll send the final version of the file by tonight.,ham
"Hi, just checking if we are still meeting tomorrow at 2 PM.",ham
Act now! This deal expires in 12 hours.,spam
Thanks for your help on the task yesterday.,ham
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
Can you review the document I sent earlier?,ham
Earn money from home easily! Make up to $200 per week.,spam
Earn money from home easily! Make up to $200 per week.,spam
Can you review the document I sent earlier?,ham
Congratulations! You've won a $1000 gift card. Click here to claim now.,spam
"Hi, just checking if we are still meeting tomorrow at 2 PM.",ham
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
I'll send the final version of the file by tonight.,ham
Get cheap headphones without prescription. Order today.,spam
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
Earn money from home easily! Make up to $500 per week.,spam
Congratulations! You've won a $1000 gift card. Click here to claim now.,spam
Your loan of $100 has been approved instantly. Apply now.,spam
Let's discuss the plan during our call at 4 PM.,ham
Your order has been shipped and will arrive soon.,ham
Act now! This deal expires in 24 hours.,spam
Act now! This deal expires in 6 hours.,spam
Exclusive deal just for you: Buy 1 get 1 free on headphones.,spam
Your loan of $500 has been approved instantly. Apply now.,spam
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
Get cheap smartwatch without prescription. Order today.,spam
Thanks for your help on the task yesterday.,ham
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
"Hi, just checking if we are still meeting tomorrow at 4 PM.",ham
Congratulations! You've won a $100 gift card. Click here to claim now.,spam
Reminder: Team meeting scheduled at 2 PM.,ham
Your loan of $100 has been approved instantly. Apply now.,spam
"Hi, just checking if we are still meeting tomorrow at 6 PM.",ham
Let's discuss the plan during our call at 10 AM.,ham
Lunch at Bali today? Let me know if you're free.,ham
Lunch at Maldives today? Let me know if you're free.,ham
Get cheap tablet without prescription. Order today.,spam
Act now! This deal expires in 2 hours.,spam
Please confirm if you received the previous email.,ham
Your order has been shipped and will arrive soon.,ham
Please find the attached report for this week's project update.,ham
Earn money from home easily! Make up to $200 per week.,spam
Congratulations! You've won a $200 gift card. Click here to claim now.,spam
Earn money from home easily! Make up to $1000 per week.,spam
Congratulations! You've won a $200 gift card. Click here to claim now.,spam
Congratulations! You've won a $2000 gift card. Click here to claim now.,spam
Act now! This deal expires in 12 hours.,spam
You have been selected for a free vacation to Dubai. Claim your prize.,spam
Reminder: Team meeting scheduled at 2 PM.,ham
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
Please confirm if you received the previous email.,ham
Thanks for your help on the task yesterday.,ham
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
Limited time offer! Get 50% off on all products. Shop now.,spam
"Hi, just checking if we are still meeting tomorrow at 2 PM.",ham
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
Earn money from home easily! Make up to $2000 per week.,spam
Thanks for your help on the task yesterday.,ham
Earn money from home easily! Make up to $100 per week.,spam
Please find the attached report for this week's project update.,ham
Limited time offer! Get 70% off on all products. Shop now.,spam
Thanks for your help on the task yesterday.,ham
Can you review the document I sent earlier?,ham
Thanks for your help on the task yesterday.,ham
Please confirm if you received the previous email.,ham
Can you review the document I sent earlier?,ham
Thanks for your help on the task yesterday.,ham
Get cheap smartwatch without prescription. Order today.,spam
Limited time offer! Get 30% off on all products. Shop now.,spam
Your order has been shipped and will arrive soon.,ham
Please find the attached report for this week's project update.,ham
Your order has been shipped and will arrive soon.,ham
Earn money from home easily! Make up to $500 per week.,spam
Reminder: Team meeting scheduled at 10 AM.,ham
Act now! This deal expires in 24 hours.,spam
Thanks for your help on the task yesterday.,ham
Limited time offer! Get 40% off on all products. Shop now.,spam
Thanks for your help on the task yesterday.,ham
You have been selected for a free vacation to Dubai. Claim your prize.,spam
Your loan of $100 has been approved instantly. Apply now.,spam
Thanks for your help on the task yesterday.,ham
Act now! This deal expires in 2 hours.,spam
Exclusive deal just for you: Buy 1 get 1 free on laptop.,spam
Exclusive deal just for you: Buy 1 get 1 free on headphones.,spam
Congratulations! You've won a $100 gift card. Click here to claim now.,spam
Please confirm if you received the previous email.,ham
You have been selected for a free vacation to Paris. Claim your prize.,spam
Exclusive deal just for you: Buy 1 get 1 free on tablet.,spam
Thanks for your help on the task yesterday.,ham
Act now! This deal expires in 12 hours.,spam
Can you review the document I sent earlier?,ham
Your loan of $2000 has been approved instantly. Apply now.,spam
Please confirm if you received the previous email.,ham
"Hi, just checking if we are still meeting tomorrow at 2 PM.",ham
Limited time offer! Get 60% off on all products. Shop now.,spam
Congratulations! You've won a $200 gift card. Click here to claim now.,spam
Please find the attached report for this week's project update.,ham
Lunch at Dubai today? Let me know if you're free.,ham
Your order has been shipped and will arrive soon.,ham
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
Please find the attached report for this week's project update.,ham
Your loan of $1000 has been approved instantly. Apply now.,spam
You have been selected for a free vacation to Hawaii. Claim your prize.,spam
Act now! This deal expires in 6 hours.,spam
Reminder: Team meeting scheduled at 6 PM.,ham
Your order has been shipped and will arrive soon.,ham
Win a brand new tablet today. Enter the contest now.,spam
I'll send the final version of the file by tonight.,ham
Lunch at Hawaii today? Let me know if you're free.,ham
Please find the attached report for this week's project update.,ham
Earn money from home easily! Make up to $2000 per week.,spam
Your loan of $1000 has been approved instantly. Apply now.,spam
Your order has been shipped and will arrive soon.,ham
"Hi, just checking if we are still meeting tomorrow at 6 PM.",ham
Your loan of $100 has been approved instantly. Apply now.,spam
Please find the attached report for this week's project update.,ham
Earn money from home easily! Make up to $1000 per week.,spam
Thanks for your help on the task yesterday.,ham
Reminder: Team meeting scheduled at 4 PM.,ham
I'll send the final version of the file by tonight.,ham
Your order has been shipped and will arrive soon.,ham
I'll send the final version of the file by tonight.,ham
Can you review the document I sent earlier?,ham
Let's discuss the plan during our call at 10 AM.,ham
"Hi, just checking if we are still meeting tomorrow at 6 PM.",ham
You have been selected for a free vacation to Dubai. Claim your prize.,spam
Limited time offer! Get 70% off on all products. Shop now.,spam
Act now! This deal expires in 24 hours.,spam
Win a brand new laptop today. Enter the contest now.,spam
Lunch at Hawaii today? Let me know if you're free.,ham
Thanks for your help on the task yesterday.,ham
Thanks for your help on the task yesterday.,ham
I'll send the final version of the file by tonight.,ham
Limited time offer! Get 40% off on all products. Shop now.,spam
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
Please confirm if you received the previous email.,ham
Can you review the document I sent earlier?,ham
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
Earn money from home easily! Make up to $500 per week.,spam
Exclusive deal just for you: Buy 1 get 1 free on laptop.,spam
Reminder: Team meeting scheduled at 2 PM.,ham
Win a brand new headphones today. Enter the contest now.,spam
Please confirm if you received the previous email.,ham
Limited time offer! Get 50% off on all products. Shop now.,spam
Win a brand new iPhone today. Enter the contest now.,spam
Reminder: Team meeting scheduled at 10 AM.,ham
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
You have been selected for a free vacation to Bali. Claim your prize.,spam
Please confirm if you received the previous email.,ham
"Hi, just checking if we are still meeting tomorrow at 10 AM.",ham
Limited time offer! Get 50% off on all products. Shop now.,spam
Let's discuss the plan during our call at 6 PM.,ham
"Hi, just checking if we are still meeting tomorrow at 4 PM.",ham
Can you review the document I sent earlier?,ham
Reminder: Team meeting scheduled at 2 PM.,ham
Lunch at Bali today? Let me know if you're free.,ham
Can you review the document I sent earlier?,ham
Your order has been shipped and will arrive soon.,ham
Earn money from home easily! Make up to $500 per week.,spam
Lunch at Hawaii today? Let me know if you're free.,ham
Lunch at Bali today? Let me know if you're free.,ham
Limited time offer! Get 30% off on all products. Shop now.,spam
"Hi, just checking if we are still meeting tomorrow at 6 PM.",ham
"Hi, just checking if we are still meeting tomorrow at 6 PM.",ham
Exclusive deal just for you: Buy 1 get 1 free on tablet.,spam
Exclusive deal just for you: Buy 1 get 1 free on tablet.,spam
Please confirm if you received the previous email.,ham
Get cheap tablet without prescription. Order today.,spam
Please confirm if you received the previous email.,ham
I'll send the final version of the file by tonight.,ham
Lunch at Bali today? Let me know if you're free.,ham
Act now! This deal expires in 24 hours.,spam
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
Get cheap headphones without prescription. Order today.,spam
Can you review the document I sent earlier?,ham
Lunch at Dubai today? Let me know if you're free.,ham
Reminder: Team meeting scheduled at 2 PM.,ham
Act now! This deal expires in 24 hours.,spam
Please find the attached report for this week's project update.,ham
Let's discuss the plan during our call at 4 PM.,ham
You have been selected for a free vacation to Maldives. Claim your prize.,spam
Lunch at Bali today? Let me know if you're free.,ham
Reminder: Team meeting scheduled at 6 PM.,ham
Thanks for your help on the task yesterday.,ham
Your loan of $500 has been approved instantly. Apply now.,spam
Act now! This deal expires in 6 hours.,spam
Get cheap laptop without prescription. Order today.,spam
Limited time offer! Get 60% off on all products. Shop now.,spam
Lunch at Bali today? Let me know if you're free.,ham
Win a brand new iPhone today. Enter the contest now.,spam
I'll send the final version of the file by tonight.,ham
Exclusive deal just for you: Buy 1 get 1 free on laptop.,spam
Exclusive deal just for you: Buy 1 get 1 free on iPhone.,spam
Congratulations! You've won a $200 gift card. Click here to claim now.,spam
Lunch at Dubai today? Let me know if you're free.,ham
Limited time offer! Get 40% off on all products. Shop now.,spam
URGENT: Your account has been suspended. Verify immediately to restore access.,spam
Reminder: Team meeting scheduled at 10 AM.,ham
You have been selected for a free vacation to Hawaii. Claim your prize.,spam
Exclusive deal just for you: Buy 1 get 1 free on headphones.,spam
I'll send the final version of the file by tonight.,ham
Get cheap laptop without prescription. Order today.,spam
Reminder: Team meeting scheduled at 10 AM.,ham
